algoritmo,linguagem,caso,tempo
radix,Java,vazio.in,0.0725
radix,Java,auto_nomes_sisu_quase_ordenados.5838.in,0.1825
radix,Java,auto_nomes_sisu_embaralhados.5838.in,0.2
radix,Java,auto_nomes_sisu_quase_ordenados.5720.in,0.17
radix,Java,auto_nomes_sisu_embaralhados.5720.in,0.175
radix,Java,auto_nomes_sisu_quase_ordenados.5602.in,0.1975
radix,Java,auto_nomes_sisu_embaralhados.5602.in,0.185
radix,Java,auto_nomes_sisu_quase_ordenados.5484.in,0.1975
radix,Java,auto_nomes_sisu_embaralhados.5484.in,0.1725
radix,Java,auto_nomes_sisu_quase_ordenados.5366.in,0.1725
radix,Java,auto_nomes_sisu_embaralhados.5366.in,0.17
radix,Java,auto_nomes_sisu_quase_ordenados.5248.in,0.1775
radix,Java,auto_nomes_sisu_embaralhados.5248.in,0.205
radix,Java,auto_nomes_sisu_quase_ordenados.5130.in,0.1875
radix,Java,auto_nomes_sisu_embaralhados.5130.in,0.1775
radix,Java,auto_nomes_sisu_quase_ordenados.5012.in,0.1625
radix,Java,auto_nomes_sisu_embaralhados.5012.in,0.165
radix,Java,auto_nomes_sisu_quase_ordenados.4894.in,0.1575
radix,Java,auto_nomes_sisu_embaralhados.4894.in,0.17
radix,Java,auto_nomes_sisu_quase_ordenados.4776.in,0.1625
radix,Java,auto_nomes_sisu_embaralhados.4776.in,0.1675
radix,Java,auto_nomes_sisu_quase_ordenados.4658.in,0.19
radix,Java,auto_nomes_sisu_embaralhados.4658.in,0.1675
radix,Java,auto_nomes_sisu_quase_ordenados.4540.in,0.1625
radix,Java,auto_nomes_sisu_embaralhados.4540.in,0.165
radix,Java,auto_nomes_sisu_quase_ordenados.4422.in,0.1675
radix,Java,auto_nomes_sisu_embaralhados.4422.in,0.1625
radix,Java,auto_nomes_sisu_quase_ordenados.4304.in,0.17
radix,Java,auto_nomes_sisu_embaralhados.4304.in,0.1825
radix,Java,auto_nomes_sisu_quase_ordenados.4186.in,0.165
radix,Java,auto_nomes_sisu_embaralhados.4186.in,0.165
radix,Java,auto_nomes_sisu_quase_ordenados.4068.in,0.165
radix,Java,auto_nomes_sisu_embaralhados.4068.in,0.1725
radix,Java,auto_nomes_sisu_quase_ordenados.3950.in,0.165
radix,Java,auto_nomes_sisu_embaralhados.3950.in,0.1625
radix,Java,auto_nomes_sisu_quase_ordenados.3832.in,0.16
radix,Java,auto_nomes_sisu_embaralhados.3832.in,0.1825
radix,Java,auto_nomes_sisu_quase_ordenados.3714.in,0.16
radix,Java,auto_nomes_sisu_embaralhados.3714.in,0.16
radix,Java,auto_nomes_sisu_quase_ordenados.3596.in,0.1575
radix,Java,auto_nomes_sisu_embaralhados.3596.in,0.1625
radix,Java,auto_nomes_sisu_quase_ordenados.3478.in,0.1625
radix,Java,auto_nomes_sisu_embaralhados.3478.in,0.16
radix,Java,auto_nomes_sisu_quase_ordenados.3360.in,0.1575
radix,Java,auto_nomes_sisu_embaralhados.3360.in,0.1825
radix,Java,auto_nomes_sisu_quase_ordenados.3242.in,0.155
radix,Java,auto_nomes_sisu_embaralhados.3242.in,0.1575
radix,Java,auto_nomes_sisu_quase_ordenados.3124.in,0.155
radix,Java,auto_nomes_sisu_embaralhados.3124.in,0.155
radix,Java,auto_nomes_sisu_quase_ordenados.3006.in,0.1575
radix,Java,auto_nomes_sisu_embaralhados.3006.in,0.1525
radix,Java,auto_nomes_sisu_quase_ordenados.2888.in,0.155
radix,Java,auto_nomes_sisu_embaralhados.2888.in,0.1725
radix,Java,auto_nomes_sisu_quase_ordenados.2770.in,0.155
radix,Java,auto_nomes_sisu_embaralhados.2770.in,0.1525
radix,Java,auto_nomes_sisu_quase_ordenados.2652.in,0.15
radix,Java,auto_nomes_sisu_embaralhados.2652.in,0.155
radix,Java,auto_nomes_sisu_quase_ordenados.2534.in,0.1525
radix,Java,auto_nomes_sisu_embaralhados.2534.in,0.15
radix,Java,auto_nomes_sisu_quase_ordenados.2416.in,0.1425
radix,Java,auto_nomes_sisu_embaralhados.2416.in,0.1675
radix,Java,auto_nomes_sisu_quase_ordenados.2298.in,0.14
radix,Java,auto_nomes_sisu_embaralhados.2298.in,0.1375
radix,Java,auto_nomes_sisu_quase_ordenados.2180.in,0.1425
radix,Java,auto_nomes_sisu_embaralhados.2180.in,0.1475
radix,Java,auto_nomes_sisu_quase_ordenados.2062.in,0.15
radix,Java,auto_nomes_sisu_embaralhados.2062.in,0.14
radix,Java,auto_nomes_sisu_quase_ordenados.1944.in,0.145
radix,Java,auto_nomes_sisu_embaralhados.1944.in,0.17
radix,Java,auto_nomes_sisu_quase_ordenados.1826.in,0.1475
radix,Java,auto_nomes_sisu_embaralhados.1826.in,0.145
radix,Java,auto_nomes_sisu_quase_ordenados.1708.in,0.1425
radix,Java,auto_nomes_sisu_embaralhados.1708.in,0.1475
radix,Java,auto_nomes_sisu_quase_ordenados.1590.in,0.1325
radix,Java,auto_nomes_sisu_embaralhados.1590.in,0.1375
radix,Java,auto_nomes_sisu_quase_ordenados.1472.in,0.14
radix,Java,auto_nomes_sisu_embaralhados.1472.in,0.1375
radix,Java,auto_nomes_sisu_quase_ordenados.1354.in,0.1625
radix,Java,auto_nomes_sisu_embaralhados.1354.in,0.1375
radix,Java,auto_nomes_sisu_quase_ordenados.1236.in,0.1375
radix,Java,auto_nomes_sisu_embaralhados.1236.in,0.1325
radix,Java,auto_nomes_sisu_quase_ordenados.1118.in,0.1325
radix,Java,auto_nomes_sisu_embaralhados.1118.in,0.13
radix,Java,auto_nomes_sisu_quase_ordenados.1000.in,0.1325
radix,Java,auto_nomes_sisu_embaralhados.1000.in,0.13
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.100000.in,0.4325
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.100000.in,0.465
radix,Java,auto_inteiros_identicos_37.100000.in,0.4275
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.100000.in,0.4225
radix,Java,auto_inteiros_aleatorios_0-1000000.100000.in,0.45
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.95000.in,0.425
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.95000.in,0.45
radix,Java,auto_inteiros_identicos_37.95000.in,0.42
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.95000.in,0.4675
radix,Java,auto_inteiros_aleatorios_0-1000000.95000.in,0.4625
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.90000.in,0.4175
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.90000.in,0.4375
radix,Java,auto_inteiros_identicos_37.90000.in,0.42
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.90000.in,0.43
radix,Java,auto_inteiros_aleatorios_0-1000000.90000.in,0.4175
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.85000.in,0.4175
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.85000.in,0.425
radix,Java,auto_inteiros_identicos_37.85000.in,0.405
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.85000.in,0.42
radix,Java,auto_inteiros_aleatorios_0-1000000.85000.in,0.4025
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.80000.in,0.3975
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.80000.in,0.4025
radix,Java,auto_inteiros_identicos_37.80000.in,0.4025
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.80000.in,0.4025
radix,Java,auto_inteiros_aleatorios_0-1000000.80000.in,0.415
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.75000.in,0.385
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.75000.in,0.3925
radix,Java,auto_inteiros_identicos_37.75000.in,0.39
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.75000.in,0.385
radix,Java,auto_inteiros_aleatorios_0-1000000.75000.in,0.375
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.70000.in,0.3775
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.70000.in,0.3775
radix,Java,auto_inteiros_identicos_37.70000.in,0.3775
radix,Java,auto_inteiros_em_ordem_nao_ascendente_0-1000000.70000.in,0.3625
radix,Java,auto_inteiros_aleatorios_0-1000000.70000.in,0.37
radix,Java,auto_inteiros_quase_ordenados_0-1000000_100.00%.65000.in,0.3775
radix,Java,auto_inteiros_quase_ordenados_0-1000000_98.00%.65000.in,0.3525
radix,Java,auto_inteiros_identicos_37.65000.in,0.3575
